popid,pop
2599,133
2600,13
2601,34
2602,57
2603,53
2604,78
2605,16
2606,18
2607,121
2608,176
2609,18
2610,29
2611,69
2612,34
2613,26
2614,42
2615,0
2616,112
2617,87
2618,0
2619,0
2620,0
2621,0
2622,175
2623,127
2624,145
2625,108
2626,138
2627,38
2628,0
2629,52
2630,122
2631,115
2632,120
2633,84
2634,74
2635,52
2636,64
2637,70
2638,51
2639,0
2640,0
2641,57
2642,77
2643,87
2644,39
2645,0
2646,59
2647,33
2648,69
2649,69
2650,56
2651,24
2652,0
2653,0
2654,43
2655,65
2656,14
2657,63
2658,58
2659,23
2660,83
2661,47
2662,22
2663,57
2664,29
2665,41
2666,26
2667,38
2668,29
2669,17
2670,55
2671,37
2672,45
2673,18
2674,43
2675,31
2676,57
2677,81
2678,66
2679,53
2680,35
2681,45
2682,52
2683,45
2684,54
2685,25
2686,30
2687,56
2688,34
2689,7
2690,0
2691,28
2692,29
2693,29
2694,55
2695,39
2696,78
2697,57
2698,24
2699,52
2700,50
2701,51
2702,120
2703,0
2704,35
2705,51
2706,20
2707,34
2708,121
2709,88
2710,53
2711,93
2712,93
2713,15
2714,87
2715,126
2716,70
2717,39
2718,34
2719,42
2720,41
2721,16
2722,47
2723,10
2724,37
2725,14
2726,100
2727,53
2728,87
2729,81
2730,90
2731,95
2732,90
2733,0
2734,88
2735,97
2736,82
2737,73
2738,47
2739,75
2740,315
2741,68
2742,94
2743,78
2744,34
2745,73
2746,44
2747,65
2748,100
2749,84
2750,10
2751,82
2752,97
2753,15
2754,85
2755,85
2756,7
2757,80
2758,62
2759,21
2760,65
2761,73
2762,84
2763,72
2764,80
2765,54
2766,54
2767,55
2768,53
2769,47
2770,23
2771,9
2772,25
2773,59
2774,53
2775,373
2776,68
2777,0
2778,60
2779,7
2780,85
2781,77
2782,0
2783,52
2784,39
2785,0
2786,26
2787,25
2788,55
2789,57
2790,56
2791,95
2792,98
2793,81
2794,95
2795,87
2796,77
2797,113
2798,26
2799,47
2800,2
2801,33
2802,23
2803,11
2804,3
2805,58
2806,69
2807,61
2808,45
2809,47
2810,71
2811,73
2812,71
2813,60
2814,57
2815,59
2816,47
2817,59
2818,52
2819,117
2820,73
2821,144
2822,36
2823,26
2824,60
2825,18
2826,46
2827,81
2828,78
2829,79
2830,77
2831,72
2832,19
2833,56
2834,57
2835,88
2836,91
2837,115
2838,16
2839,45
2840,55
2841,42
2842,55
2843,59
2844,58
2845,55
2846,41
2847,77
2848,24
2849,43
2850,25
2851,26
2852,50
2853,66
2854,38
2855,84
2856,89
2857,0
2858,75
2859,17
2860,137
2861,64
2862,67
2863,52
2864,66
2865,51
2866,66
2867,0
2868,0
2869,94
2870,58
2871,7
2872,22
2873,45
2874,35
2875,35
2876,25
2877,43
2878,33
2879,37
2880,92
2881,61
2882,47
2883,42
2884,60
2885,39
2886,30
2887,30
2888,52
2889,15
2890,20
2891,55
2892,10
2893,32
2894,0
2895,0
2896,0
2897,79
2898,16
2899,33
2900,14
2901,54
2902,58
2903,55
2904,24
2905,54
2906,74
2907,71
2908,60
2909,78
2910,34
2911,53
2912,74
2913,0
2914,26
2915,84
2916,47
2917,64
2918,0
2919,157
2920,105
2921,22
2922,78
2923,65
2924,70
2925,61
2926,70
2927,30
2928,61
2929,36
2930,64
2931,228
2932,45
2933,55
2934,72
2935,63
2936,2
2937,117
2938,17
2939,57
2940,32
2941,48
2942,36
2943,4
2944,12
2945,55
2946,50
2947,67
2948,84
2949,65
2950,20
2951,76
2952,52
2953,60
2954,65
2955,84
2956,81
2957,71
2958,54
2959,72
2960,29
2961,38
2962,45
2963,32
2964,71
2965,54
2966,49
2967,56
